state_fips,state,state_abbr,zipcode,county,city
1,Alabama,AL,35004,St. Clair,Acmar
1,Alabama,AL,35005,Jefferson,Adamsville
1,Alabama,AL,35006,Jefferson,Adger
1,Alabama,AL,35007,Shelby,Keystone
1,Alabama,AL,35010,Tallapoosa,New site
1,Alabama,AL,35014,Talladega,Alpine
1,Alabama,AL,35016,Marshall,Arab
1,Alabama,AL,35019,Cullman,Baileyton
1,Alabama,AL,35020,Jefferson,Bessemer
1,Alabama,AL,35022,Jefferson,Zcta 35022
1,Alabama,AL,35023,Jefferson,Hueytown
1,Alabama,AL,35031,Blount,Blountsville
1,Alabama,AL,35033,Cullman,Bremen
32,Nevada,NV,89445,Humboldt,Winnemucca
32,Nevada,NV,89447,Lyon,Yerington
32,Nevada,NV,89448,Douglas,Zephyr cove
32,Nevada,NV,89449,Douglas,Stateline
32,Nevada,NV,89451,Washoe,Incline village
32,Nevada,NV,894HH,Douglas,Zcta 894hh
32,Nevada,NV,894XX,Washoe,Zcta 894xx
